city,state_name
New York,New York
Los Angeles,California
Chicago,Illinois
Miami,Florida
Houston,Texas
Dallas,Texas
Philadelphia,Pennsylvania
Atlanta,Georgia
Washington,District of Columbia
Boston,Massachusetts
Phoenix,Arizona
Detroit,Michigan
Seattle,Washington
San Francisco,California
San Diego,California
Minneapolis,Minnesota
Tampa,Florida
Brooklyn,New York
Denver,Colorado
Queens,New York
Riverside,California
Las Vegas,Nevada
Baltimore,Maryland
St. Louis,Missouri
Portland,Oregon
San Antonio,Texas
Sacramento,California
Austin,Texas
Orlando,Florida
San Juan,Puerto Rico
San Jose,California
Pittsburgh,Pennsylvania
Indianapolis,Indiana
Manhattan,New York
Cincinnati,Ohio
Kansas City,Missouri
Cleveland,Ohio
Columbus,Ohio
Bronx,New York
Virginia Beach,Virginia
Charlotte,North Carolina
Milwaukee,Wisconsin
Providence,Rhode Island
Jacksonville,Florida
Nashville,Tennessee
Salt Lake City,Utah
Raleigh,North Carolina
Richmond,Virginia
Memphis,Tennessee
Oklahoma City,Oklahoma
Hartford,Connecticut
Louisville,Kentucky
Buffalo,New York
New Orleans,Louisiana
Fort Worth,Texas
Bridgeport,Connecticut
Tucson,Arizona
El Paso,Texas
Omaha,Nebraska
McAllen,Texas
Birmingham,Alabama
Albuquerque,New Mexico
Tulsa,Oklahoma
Fresno,California
Charleston,South Carolina
Rochester,New York
Dayton,Ohio
Cape Coral,Florida
Mission Viejo,California
Colorado Springs,Colorado
Baton Rouge,Louisiana
Allentown,Pennsylvania
Ogden,Utah
Provo,Utah
Knoxville,Tennessee
Grand Rapids,Michigan
Columbia,South Carolina
Albany,New York
Bakersfield,California
New Haven,Connecticut
Des Moines,Iowa
Akron,Ohio
Palm Bay,Florida
Concord,California
Wichita,Kansas
Mesa,Arizona
Harrisburg,Pennsylvania
Staten Island,New York
Toledo,Ohio
Worcester,Massachusetts
Long Beach,California
Port St. Lucie,Florida
Little Rock,Arkansas
Reno,Nevada
Spokane,Washington
Madison,Wisconsin
Boise,Idaho
Bonita Springs,Florida
Denton,Texas
Oakland,California
Springfield,Massachusetts
Augusta,Georgia
Kissimmee,Florida
Winston-Salem,North Carolina
Stockton,California
Syracuse,New York
Chattanooga,Tennessee
Lancaster,Pennsylvania
Greenville,South Carolina
Durham,North Carolina
Pensacola,Florida
Fayetteville,Arkansas
Arlington,Texas
Aurora,Colorado
Oxnard,California
Indio,California
Scranton,Pennsylvania
Victorville,California
Trenton,New Jersey
Modesto,California
Huntsville,Alabama
Honolulu,Hawaii
Greensboro,North Carolina
Anaheim,California
Corpus Christi,Texas
Fort Wayne,Indiana
Fort Collins,Colorado
Jackson,Mississippi
Myrtle Beach,South Carolina
Fayetteville,North Carolina
Antioch,California
Lansing,Michigan
Lexington,Kentucky
Mobile,Alabama
Youngstown,Ohio
Henderson,Nevada
Savannah,Georgia
Poughkeepsie,New York
Santa Ana,California
Ann Arbor,Michigan
St. Paul,Minnesota
Newark,New Jersey
Irvine,California
